Message ID,Subject,Message,Spam/Ham,Date,Clean_Message
5778,issue 4,"- http : / / www . financewise . com / risk
riskbrief issue 4
from financewise : the only dedicated financial search engine
22 march 2000
dear riskbrief subscribers
the fourth edition is here , and this month ' s theme is weather .
weather derivatives is increasingly a hot topic on the web at the
moment . four sites have been launched in the last three months ,
including tradeweather . com , weather - risk . com and . com .
along with the weather trading site from liffe ( i - wex . com ) ,
launched in january , and the introduction last september of
weather futures on the chicago mercantile exchange ( cme ) , there is
something of a rush on .
to provide you with an online resource to weather risk , we have
an introductory guide , two site reviews , 22 articles and an
exclusive book offer .
http : / / www . tradeweather . com ( see site reviews )
http : / / www . weather - risk . com ( see site reviews )
http : / / www . . com
http : / / www . i - wex . com
http : / / www . cme . com / news / weather 921 . html
how fast will the weather derivatives market grow ? will there be
enough liquidity ? let us know what you think .
in the meantime , please enjoy the rest of this month ' s issue ,
with 14 articles on currency trading , e - trading , and news of conferences ,
jobs and more .
regards
rob minto
producer , financewise
rminto @ risk . co . uk
before you forget , why not forward this e - mail to a
colleague / friend now , who might find our coverage of
risk management on the web a useful resource ?
contents :
= = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
> > weather risk guide
> > site reviews
> > articles and features : weather risk , e - trading , currency trading
> > new # 1 site
> > book special offer : insurance and weather risk
> > conferences & training
> > new jobs
please view the newsletter online and get the full story :
this month ' s sponsor :
= = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
credit :
the new forum for international credit markets .
with its mix of news , features , data and technical articles ,
credit magazine is a vital source of information for all investors ,
issuers and market professionals operating in the global
credit markets .
subscribe before april to claim a 40 % discount
http : / / www . creditmag . com
weather risk guides :
= = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
introduction to weather derivatives from the cme . a market history ,
plus a discussion of pricing and analyzing weather contracts .
an overview article from james roemer of the weatherrisk institute .
bob dischel ' s site on weather derivatives , with articles , links and
seminar details .
http : / / www . wxpx . com
for further links to weather derivatives online see the html version :
site reviews :
= = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
who is doing what on the web ? a double helping of site reviews this month :
- new bond trading site from jp morgan bear stearns , chase
manhattan and moneyline
- weather derivatives trading & info : enron ' s weather - risk . com
& tradeweather . com
- foreign - exchange trading from financial market solutions
- the french tr , sor site covering sovereign bond issues
- algorithmic ' s risk management methodology - ' mark - to - future '
- rent applications and analytical tools from cygnifi , a new web
offering from jp morgan , bridge & sybase
- revamped inventure . com site - provider of data & analytics
- keep up to date on new - issue markets with s & p ' s new site
articles & features :
= = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
14 new articles and features have been added to the financewise
risk management special report . the new supplements are :
- electronic trading
- currency risk
continuing our theme of weather , we also have two editions of
weather risk . these 22 articles include glossaries and technical
articles on data and forecasting , options pricing , emissions
trading and weather - linked bonds .
# 1 site
= = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
the new # 1 site on financewise is the picture of risk site
from risk metrics , displacing finmath . com ( triple # 1 award winner )
as the most visited site in february . click below to view the
latest rankings
http : / / www . financewise . com / rankings
book special offer : exclusive
= = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
and completing our weather coverage for this month , there is a
10 % discount available exclusive to riskbrief subscribers on :
"" insurance and weather derivatives
from exotic options to exotic underlyings ""
for further details and information see :
there are other special offers available on the risk books site :
http : / / www . riskbooks . com
conferences & training
= = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
full details are now online for risk 2000 . risk ' s 6 th annual us
derivatives and risk management congress will be held in boston
on june 13 & 14 . keynote speakers : myron scholes and jeffrey skilling .
jobs
= = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
this month , the search term "" jobs "" has moved up to 5 th position in the
financewise rankings .
http : / / www . financewise . com / rankings
if you were one of those searching for "" jobs "" , don ' t forget our own
job search section . it currently holds 46 treasury and risk management , a
record 29 additions since the last brief .
visit the job search and select the job category
"" finance : treasury and risk mgmt "" .
http : / / www . financewise . com / jobs
* * *
also :
= = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
please e - mail us if there is anything you would like to see
in this newsletter , or any questions that you would like
addressed . riskbrief now reaches over 1200 subscribers
worldwide . so if you have something interesting to say , or
an opinion to share with all your fellow subscribers send
your comments to :
rminto @ risk . co . uk
p . s . also suggest sites for us to review / index
if this has been forwarded to you , please subscribe to
receive your own copy at :
are you registered with financewise ? if not , please click :
http : / / www . financewise . com
you will then have the full functionality of the site .
if you have any problems with this newsletter , please
contact me :
rminto @ risk . co . uk
to unsubscribe , write to financewise - unsubscribe @ listbot . com
to unsubscribe , write to financewise - unsubscribe @ listbot . com",ham,2000-03-22,"- http : / / www . financewise . com / risk riskbrief issue 4 from financewise : the only dedicated financial search engine 22 march 2000 dear riskbrief subscribers the fourth edition is here , and this month ' s theme is weather . weather derivatives is increasingly a hot topic on the web at the moment . four sites have been launched in the last three months , including tradeweather . com , weather - risk . com and . com . along with the weather trading site from liffe ( i - wex . com ) , launched in january , and the introduction last september of weather futures on the chicago mercantile exchange ( cme ) , there is something of a rush on . to provide you with an online resource to weather risk , we have an introductory guide , two site reviews , 22 articles and an exclusive book offer . http : / / www . tradeweather . com ( see site reviews ) http : / / www . weather - risk . com ( see site reviews ) http : / / www . . com http : / / www . i - wex . com http : / / www . cme . com / news / weather 921 . html how fast will the weather derivatives market grow ? will there be enough liquidity ? let us know what you think . in the meantime , please enjoy the rest of this month ' s issue , with 14 articles on currency trading , e - trading , and news of conferences , jobs and more . regards rob minto producer , financewise rminto @ risk . co . uk before you forget , why not forward this e - mail to a colleague / friend now , who might find our coverage of risk management on the web a useful resource ? contents : = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = > > weather risk guide > > site reviews > > articles and features : weather risk , e - trading , currency trading > > new # 1 site > > book special offer : insurance and weather risk > > conferences & training > > new jobs please view the newsletter online and get the full story : this month ' s sponsor : = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = credit : the new forum for international credit markets . with its mix of news , features , data and technical articles , credit magazine is a vital source of information for all investors , issuers and market professionals operating in the global credit markets . subscribe before april to claim a 40 % discount http : / / www . creditmag . com weather risk guides : = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = introduction to weather derivatives from the cme . a market history , plus a discussion of pricing and analyzing weather contracts . an overview article from james roemer of the weatherrisk institute . bob dischel ' s site on weather derivatives , with articles , links and seminar details . http : / / www . wxpx . com for further links to weather derivatives online see the html version : site reviews : = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = who is doing what on the web ? a double helping of site reviews this month : - new bond trading site from jp morgan bear stearns , chase manhattan and moneyline - weather derivatives trading & info : enron ' s weather - risk . com & tradeweather . com - foreign - exchange trading from financial market solutions - the french tr , sor site covering sovereign bond issues - algorithmic ' s risk management methodology - ' mark - to - future ' - rent applications and analytical tools from cygnifi , a new web offering from jp morgan , bridge & sybase - revamped inventure . com site - provider of data & analytics - keep up to date on new - issue markets with s & p ' s new site articles & features : = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = 14 new articles and features have been added to the financewise risk management special report . the new supplements are : - electronic trading - currency risk continuing our theme of weather , we also have two editions of weather risk . these 22 articles include glossaries and technical articles on data and forecasting , options pricing , emissions trading and weather - linked bonds . # 1 site = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = the new # 1 site on financewise is the picture of risk site from risk metrics , displacing finmath . com ( triple # 1 award winner ) as the most visited site in february . click below to view the latest rankings http : / / www . financewise . com / rankings book special offer : exclusive = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = and completing our weather coverage for this month , there is a 10 % discount available exclusive to riskbrief subscribers on : "" insurance and weather derivatives from exotic options to exotic underlyings "" for further details and information see : there are other special offers available on the risk books site : http : / / www . riskbooks . com conferences & training = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = full details are now online for risk 2000 . risk ' s 6 th annual us derivatives and risk management congress will be held in boston on june 13 & 14 . keynote speakers : myron scholes and jeffrey skilling . jobs = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = this month , the search term "" jobs "" has moved up to 5 th position in the financewise rankings . http : / / www . financewise . com / rankings if you were one of those searching for "" jobs "" , don ' t forget our own job search section . it currently holds 46 treasury and risk management , a record 29 additions since the last brief . visit the job search and select the job category "" finance : treasury and risk mgmt "" . http : / / www . financewise . com / jobs * * * also : = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = please e - mail us if there is anything you would like to see in this newsletter , or any questions that you would like addressed . riskbrief now reaches over 1200 subscribers worldwide . so if you have something interesting to say , or an opinion to share with all your fellow subscribers send your comments to : rminto @ risk . co . uk p . s . also suggest sites for us to review / index if this has been forwarded to you , please subscribe to receive your own copy at : are you registered with financewise ? if not , please click : http : / / www . financewise . com you will then have the full functionality of the site . if you have any problems with this newsletter , please contact me : rminto @ risk . co . uk to unsubscribe , write to financewise - unsubscribe @ listbot . com to unsubscribe , write to financewise - unsubscribe @ listbot . com"
60,new pooling point # 7342,"the new pooling point will be handled by robert lloyd , with jackie young as
his backup .
please call either of them with any updates . thanks , pat",ham,1999-12-28,"the new pooling point will be handled by robert lloyd , with jackie young as his backup . please call either of them with any updates . thanks , pat"
9264,re : hib visa application - sevil yaman,"margaret ,
thanks for reminding me this issue . i think i ' ll be fine until i start full time here in the research group . as you know right now i am using curricular practical training as work permission . and until i graduate i am allowed do as many as part time cpt i want to do . because of tax purposes i think i ' ll use this right given to me . in this case , what i need to do is that after i and vince make sure about my full time start date ( this may happen in the beginning of 2002 ) , i ' ll let you know and send you the necessary document you require to initiate my hlb visa application process . thanks again .
sevil ,
margaret daffin @ ect
25 - 04 - 2001 12 : 04
to : sevil yaman / corp / enron @ enron
cc : norma villarreal / enron @ enronxgate , vince j kaminski / hou / ect @ ect , ramona perkins / enron @ enronxgate
subject : hib visa application - sevil yaman
sevil : please let me know when you will be sending me the information for your hib visa ?
thanks
margaret
- - - - - - - - - - - - - - - - - - - - - - forwarded by margaret daffin / hou / ect on 04 / 25 / 2001 12 : 03 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
margaret daffin
04 / 10 / 2001 04 : 04 pm
to : sevil yaman / corp / enron @ enron
cc : norma villarreal / enron @ enronxgate , vince j kaminski / hou / ect @ ect , ramona perkins / enron @ enronxgate
subject : hib visa application - sevil yaman
sevil : in order that we may proceed with your request for permanent residency , our immigration attorneys have advised us that we need to process the hib visa , prior to the permanent residency application .
therefore , i am attaching an hib visa questionnaire that i would like you to complete and return to me , together with copies of all of the documents listed at the bottom of the form .
please bring these to me in 3 ac 2026 a .
please let me know if you have any questions at x 55083 .
thank you
margaret",ham,2001-04-26,"margaret , thanks for reminding me this issue . i think i ' ll be fine until i start full time here in the research group . as you know right now i am using curricular practical training as work permission . and until i graduate i am allowed do as many as part time cpt i want to do . because of tax purposes i think i ' ll use this right given to me . in this case , what i need to do is that after i and vince make sure about my full time start date ( this may happen in the beginning of 2002 ) , i ' ll let you know and send you the necessary document you require to initiate my hlb visa application process . thanks again . sevil , margaret daffin @ ect 25 - 04 - 2001 12 : 04 to : sevil yaman / corp / enron @ enron cc : norma villarreal / enron @ enronxgate , vince j kaminski / hou / ect @ ect , ramona perkins / enron @ enronxgate subject : hib visa application - sevil yaman sevil : please let me know when you will be sending me the information for your hib visa ? thanks margaret - - - - - - - - - - - - - - - - - - - - - - forwarded by margaret daffin / hou / ect on 04 / 25 / 2001 12 : 03 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - margaret daffin 04 / 10 / 2001 04 : 04 pm to : sevil yaman / corp / enron @ enron cc : norma villarreal / enron @ enronxgate , vince j kaminski / hou / ect @ ect , ramona perkins / enron @ enronxgate subject : hib visa application - sevil yaman sevil : in order that we may proceed with your request for permanent residency , our immigration attorneys have advised us that we need to process the hib visa , prior to the permanent residency application . therefore , i am attaching an hib visa questionnaire that i would like you to complete and return to me , together with copies of all of the documents listed at the bottom of the form . please bring these to me in 3 ac 2026 a . please let me know if you have any questions at x 55083 . thank you margaret"
6315,contact information,"dear mr . kaminski ,
i sent my resume to your well respected company a few weeks ago
in regards to establishing a long - lasting career with them . i never
received a response and was wondering if you knew who was in charge of
the electric power disbatching / scheduling department or know of who i
may contact to inquire this information ? i know you are a very busy
professional and i apologize for the inconvenience . thank you for your
valuable time .
warmest regards ,
eric hilton",ham,2000-06-21,"dear mr . kaminski , i sent my resume to your well respected company a few weeks ago in regards to establishing a long - lasting career with them . i never received a response and was wondering if you knew who was in charge of the electric power disbatching / scheduling department or know of who i may contact to inquire this information ? i know you are a very busy professional and i apologize for the inconvenience . thank you for your valuable time . warmest regards , eric hilton"
28131,lay ' s comments to ferc on power market,"note : the ferc meeting is today . see the link below that can be checked for
updates .
enron ' s lay urges bold solutions to power market woes
as the federal energy regulatory commission prepared to weigh in this morning
with the federal government ' s answer to california ' s be - deviled power market ,
free market advocates issued last minute warnings against taking the price
cap route espoused by the cal - iso . ferc ' s meeting is scheduled to start at 9
am est . ( check http : / / intelligencepress . com this morning for updates )
in a letter fired off to ferc chairman james j . hoecker yesterday , enron ceo
kenneth lay urged the commission to find a fix for the underlying structural
problems in the power market rather than follow the steps of policy makers
who have placed "" price cap ' band aids ' over hemorrhaging wounds . ""
lay told hoecker the power market is "" halfway across a busy street in its
transition from monopoly to competition . it can ' t stand where it is . "" he said
ferc has to make a choice between falling into the "" same trap of political
expediency as california ' s iso , leaving the nation ' s electric system in the
lurch from one crisis to the next , [ o ] r it can take a big step toward
fundamental structural reform . ""
at the same time the electric power supply association ( epsa ) called on ferc
to issue an emergency cease and desist order prohibiting the cal - iso from
"" unilaterally implementing "" any changes to its current $ 250 / mwh price cap for
wholesale electricity purchases . in a motion filed monday , the marketer group
specifically asked the commission to bar the cal - iso board of directors from
putting into effect its decision to impose a fiendishly complex
load - differentiated price cap of $ 100 or less during the off - peak season
effective nov . 3 . the plan was designed by the state ' s main utility consumer
group ( see daily gpi , oct . 30 ) . in addition , the epsa urged ferc to "" state
explicitly "" that the cal - iso does not have the authority to impose or extend
price or bid caps , unless expressly authorized to do so by the commission .
the cal - iso ' s current authority to set price caps expires on nov . 15 .
lay said the cal - iso ' s complicated new formula caps prices below the cost of
gas - fired generation , "" making obvious errors such as failing to take into
account gas transportation costs between the henry hub and power plants in
california ; in doing so the bid cap makes it more economic for generators to
sell their gas supply , rather than use it to make electricity in california . ""
the new formula also forces the iso into the market to buy power on an ad hoc
basis "" to keep the lights on when the capped market fails to attract
sufficient supplies ( which it inevitably will do ) , "" lay said . in addition ,
the capped formula "" invites generators to shut in production , export power
out of state and deploy their turbines in other states or countries . ""
he noted that the iso ' s chairman voted against the measure while all of the
state ' s utilities voted for it "" presumably knowing full well that it simply
will not work . ""
california is "" just the latest failure of partial or compromised open
access , "" said lay . "" it ' s time for the commission to reject this approach .
"" the power industry - - - the nation ' s most essential industry - - - is mired in
the transition from regulated monopoly to open access and customer choice .
every step forward has been compromised out of concern for alienating one
vested interest or another . as a result , utilities are free to slow the
interconnection of new generation , withhold equal access to the transmission
system , favor their own sales over those of competitors , miscalculated
available transmission capacity , and exercise control over supposedly
' independent ' system operators and reliability organizations .
lay predicted that installing price caps for political expediency would
"" plunge markets into greater uncertainty and discourage new supplies and
conservation methods . . . ""
ferc has to complete the work that it started , said lay . it has to ensure
that all parties have equal and fair access to transmission by "" ending the
special priority for utility uses of the system . second , ferc must require
transmission owners to separate operation of the monopoly transmission assets
from their other businesses . third , ferc must take politics out of
transmission system operations by revising governance structures to ensure
independence . finally , ferc must end its reliance on shortsighted price caps
by putting in place the necessary reforms to allow these markets to operate
efficiently to encourage conservation and attract new supplies . ""
epsa said the cal - iso board "" acted in obvious disregard for the commission ' s
orderly processes . "" it "" cannot be permitted to make the commission ' s
decisions for it , or to alter so radically market rules , thereby injecting
more uncertainty and confusion in the market and subverting the process for
fashioning fair , effective and comprehensive remedies "" for california ' s
"" flawed "" electric markets , the group noted .
the epsa believes that any remedial actions taken by ferc with respect to the
california markets will be "" severely compromised "" if the cal - iso board ' s
imposition of new prices caps is allowed to take effect .
- -",ham,2000-11-01,"note : the ferc meeting is today . see the link below that can be checked for updates . enron ' s lay urges bold solutions to power market woes as the federal energy regulatory commission prepared to weigh in this morning with the federal government ' s answer to california ' s be - deviled power market , free market advocates issued last minute warnings against taking the price cap route espoused by the cal - iso . ferc ' s meeting is scheduled to start at 9 am est . ( check http : / / intelligencepress . com this morning for updates ) in a letter fired off to ferc chairman james j . hoecker yesterday , enron ceo kenneth lay urged the commission to find a fix for the underlying structural problems in the power market rather than follow the steps of policy makers who have placed "" price cap ' band aids ' over hemorrhaging wounds . "" lay told hoecker the power market is "" halfway across a busy street in its transition from monopoly to competition . it can ' t stand where it is . "" he said ferc has to make a choice between falling into the "" same trap of political expediency as california ' s iso , leaving the nation ' s electric system in the lurch from one crisis to the next , [ o ] r it can take a big step toward fundamental structural reform . "" at the same time the electric power supply association ( epsa ) called on ferc to issue an emergency cease and desist order prohibiting the cal - iso from "" unilaterally implementing "" any changes to its current $ 250 / mwh price cap for wholesale electricity purchases . in a motion filed monday , the marketer group specifically asked the commission to bar the cal - iso board of directors from putting into effect its decision to impose a fiendishly complex load - differentiated price cap of $ 100 or less during the off - peak season effective nov . 3 . the plan was designed by the state ' s main utility consumer group ( see daily gpi , oct . 30 ) . in addition , the epsa urged ferc to "" state explicitly "" that the cal - iso does not have the authority to impose or extend price or bid caps , unless expressly authorized to do so by the commission . the cal - iso ' s current authority to set price caps expires on nov . 15 . lay said the cal - iso ' s complicated new formula caps prices below the cost of gas - fired generation , "" making obvious errors such as failing to take into account gas transportation costs between the henry hub and power plants in california ; in doing so the bid cap makes it more economic for generators to sell their gas supply , rather than use it to make electricity in california . "" the new formula also forces the iso into the market to buy power on an ad hoc basis "" to keep the lights on when the capped market fails to attract sufficient supplies ( which it inevitably will do ) , "" lay said . in addition , the capped formula "" invites generators to shut in production , export power out of state and deploy their turbines in other states or countries . "" he noted that the iso ' s chairman voted against the measure while all of the state ' s utilities voted for it "" presumably knowing full well that it simply will not work . "" california is "" just the latest failure of partial or compromised open access , "" said lay . "" it ' s time for the commission to reject this approach . "" the power industry - - - the nation ' s most essential industry - - - is mired in the transition from regulated monopoly to open access and customer choice . every step forward has been compromised out of concern for alienating one vested interest or another . as a result , utilities are free to slow the interconnection of new generation , withhold equal access to the transmission system , favor their own sales over those of competitors , miscalculated available transmission capacity , and exercise control over supposedly ' independent ' system operators and reliability organizations . lay predicted that installing price caps for political expediency would "" plunge markets into greater uncertainty and discourage new supplies and conservation methods . . . "" ferc has to complete the work that it started , said lay . it has to ensure that all parties have equal and fair access to transmission by "" ending the special priority for utility uses of the system . second , ferc must require transmission owners to separate operation of the monopoly transmission assets from their other businesses . third , ferc must take politics out of transmission system operations by revising governance structures to ensure independence . finally , ferc must end its reliance on shortsighted price caps by putting in place the necessary reforms to allow these markets to operate efficiently to encourage conservation and attract new supplies . "" epsa said the cal - iso board "" acted in obvious disregard for the commission ' s orderly processes . "" it "" cannot be permitted to make the commission ' s decisions for it , or to alter so radically market rules , thereby injecting more uncertainty and confusion in the market and subverting the process for fashioning fair , effective and comprehensive remedies "" for california ' s "" flawed "" electric markets , the group noted . the epsa believes that any remedial actions taken by ferc with respect to the california markets will be "" severely compromised "" if the cal - iso board ' s imposition of new prices caps is allowed to take effect . - -"
605,enron methanol ; meter # : 988291,"this is a follow up to the note i gave you on monday , 4 / 3 / 00 { preliminary
flow data provided by daren } .
please override pop ' s daily volume { presently zero } to reflect daily
activity you can obtain from gas control .
this change is needed asap for economics purposes .",ham,2000-04-04,"this is a follow up to the note i gave you on monday , 4 / 3 / 00 { preliminary flow data provided by daren } . please override pop ' s daily volume { presently zero } to reflect daily activity you can obtain from gas control . this change is needed asap for economics purposes ."
17154,do supplemental energy bids matter ?,"bill , chris ,
i think this is the market notice you two were refering to . yes , caiso will use the lower of sc - submitted bids or a unit ' s proxy cost for purposes of determining dispatch order and the mcp of supplemental energy and a / s . however , my understanding is that this adjustment only affects the auction for supplemental energy and a / s . if you have costs above the current price cap and your costs are above your unit ' s proxy costs ( and are willing to justify them ) , you should bid your higher - than - proxy costs . if you are accepted , you are supposed to be paid as bid .
let me know if you want me to follow up with caiso ( or let me know if you have asked them about this ) .",ham,2001-08-27,"bill , chris , i think this is the market notice you two were refering to . yes , caiso will use the lower of sc - submitted bids or a unit ' s proxy cost for purposes of determining dispatch order and the mcp of supplemental energy and a / s . however , my understanding is that this adjustment only affects the auction for supplemental energy and a / s . if you have costs above the current price cap and your costs are above your unit ' s proxy costs ( and are willing to justify them ) , you should bid your higher - than - proxy costs . if you are accepted , you are supposed to be paid as bid . let me know if you want me to follow up with caiso ( or let me know if you have asked them about this ) ."
13021,ferc meeting : market based rate review,"the commission discussed its market based rate policy at today ' s meeting . they did not vote out an order today , but expect to take up this issue again next meeting . the staff memo recommended the following :
for an interim period , ferc will deal with pending requests for market based rates and with triennial reviews of those rate authorizations , using a new test called the "" supply margin assessment "" ( also called a jazzed up version of the hub and spoke test ) where a seller ' s capacity will be reviewed against the generation reserve margin in a market . the test takes into account constraints based on ttc . if the capacity of a seller is not necessary to meet peak demand , the seller does not have market power . this test is applicable to all markets that are not part of an existing rto or iso . for those selling into an rto / iso , the ferc will continue to allow market based rates subject to the market monitor and mitigation .
staff also recommends that ferc initiate a section 206 investigation to require each seller with market based rate authority to change its tariff by adding a provision stating that if the seller acts in an anticompetitive manner , the ferc can require refunds . through questioning by commissioner massey , it was revealed that , even if a seller did not engage in bad behavior , but sold into a disfunctional market , refunds could be required . in the staff memo , apparently staff had left vague the definition of anticompetitive behavior in order to be able to interpret it most broadly . however , commissioners asked staff to better define the anticompetitive actions that could trigger refunds . this policy will be brought up again at the next commission meeting on october 11 . it will be issued as a proposed action , giving parties an opportunity to comment within 15 days and then also file reply comments , final action is expected within 60 - 90 days .
last , for the long - term , ferc will hold outreach meetings looking for answers as to how to detect market power and what to do when it is detected .
since the interim measure is only a "" snapshot "" approach according to commissioner massey , he is willing to support it only along with the above described tariff provision . commissioner breathitt is very uncomfortable with an open refund requirement , stating that it adds to regulatory uncertainty at a time when the commission is most interested in giving certainty to the industry in order to assure reliability .",ham,2001-09-26,"the commission discussed its market based rate policy at today ' s meeting . they did not vote out an order today , but expect to take up this issue again next meeting . the staff memo recommended the following : for an interim period , ferc will deal with pending requests for market based rates and with triennial reviews of those rate authorizations , using a new test called the "" supply margin assessment "" ( also called a jazzed up version of the hub and spoke test ) where a seller ' s capacity will be reviewed against the generation reserve margin in a market . the test takes into account constraints based on ttc . if the capacity of a seller is not necessary to meet peak demand , the seller does not have market power . this test is applicable to all markets that are not part of an existing rto or iso . for those selling into an rto / iso , the ferc will continue to allow market based rates subject to the market monitor and mitigation . staff also recommends that ferc initiate a section 206 investigation to require each seller with market based rate authority to change its tariff by adding a provision stating that if the seller acts in an anticompetitive manner , the ferc can require refunds . through questioning by commissioner massey , it was revealed that , even if a seller did not engage in bad behavior , but sold into a disfunctional market , refunds could be required . in the staff memo , apparently staff had left vague the definition of anticompetitive behavior in order to be able to interpret it most broadly . however , commissioners asked staff to better define the anticompetitive actions that could trigger refunds . this policy will be brought up again at the next commission meeting on october 11 . it will be issued as a proposed action , giving parties an opportunity to comment within 15 days and then also file reply comments , final action is expected within 60 - 90 days . last , for the long - term , ferc will hold outreach meetings looking for answers as to how to detect market power and what to do when it is detected . since the interim measure is only a "" snapshot "" approach according to commissioner massey , he is willing to support it only along with the above described tariff provision . commissioner breathitt is very uncomfortable with an open refund requirement , stating that it adds to regulatory uncertainty at a time when the commission is most interested in giving certainty to the industry in order to assure reliability ."
2145,"enron / hpl actuals for november 30 , 2000",teco tap 115 . 833 / hpl gas daily,ham,2000-12-01,teco tap 115 . 833 / hpl gas daily
6992,clean fuels - gpg business segment,"dwight and i are working to develop an updated valuation for the mtbe and
methanol business segments . we would appreciate assistance from your group
in assessing the market over the next 3 - 4 years .
with the octane shortage this summer , and the strong gas and oil price
environment , mtbe prices are well above budgeted levels . how will
political / environmental issues affect mtbe prices over the next few years .
methanol prices are also now very favorable , but it would seem that north
american methanol producers will be disadvantaged if gas prices in na remain
higher than the rest of the world .
your thoughts on these and any other factors affecting prices would be most
helpful . both dwight and i are available to meet with you or a member of
your group as soon as convenient .
thanks , sorry we missed you today .
jng",ham,2000-09-08,"dwight and i are working to develop an updated valuation for the mtbe and methanol business segments . we would appreciate assistance from your group in assessing the market over the next 3 - 4 years . with the octane shortage this summer , and the strong gas and oil price environment , mtbe prices are well above budgeted levels . how will political / environmental issues affect mtbe prices over the next few years . methanol prices are also now very favorable , but it would seem that north american methanol producers will be disadvantaged if gas prices in na remain higher than the rest of the world . your thoughts on these and any other factors affecting prices would be most helpful . both dwight and i are available to meet with you or a member of your group as soon as convenient . thanks , sorry we missed you today . jng"
